File Name,Emotion (Label),Emotional Intensity,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,STD_1,STD_2,STD_3,STD_4,STD_5,STD_6,STD_7,STD_8,STD_9,STD_10,STD_11,STD_12,Mean,CentroidSTD
03-01-05-01-02-01-22.wav,,normal,-607.6480103,63.48603058,-7.1956563,7.634901047,-6.731710434,6.851704597,-11.06166077,-2.519924641,-7.877467155,-7.12100172,-7.987093449,-3.002034426,2.157241583,155.087204,72.69397736,30.88039398,25.65904999,25.73798752,16.9106617,22.58582878,13.496665,14.62047672,12.93087959,13.13561535,11.12624836,11.83715725,5915.657185,3519.775292
03-01-06-01-02-02-22.wav,,normal,-598.9460449,60.45143127,-11.58841896,4.65065527,-6.546671391,8.317214012,-11.24481678,-7.054878712,-10.10721111,-12.08566856,-6.941929817,-1.238747239,-1.548158526,152.3323212,65.79342651,25.95213318,25.05937958,19.87163162,14.29601669,16.52499199,11.45560169,13.79926205,12.55996323,11.86355019,9.662939072,7.505357742,6106.812789,3639.686121
03-01-08-01-01-01-22.wav,,normal,-627.8735962,63.89831924,-3.407575846,-0.13410306,-7.709569931,6.313605785,-11.14629364,-3.716662407,-8.31882,-4.928343773,-8.778995514,-2.282258987,0.582083762,171.9533691,73.96524811,25.53271675,21.39002991,22.8139267,16.21063423,23.94401169,12.0727272,14.03770638,9.880795479,13.94656658,11.12908363,9.914884567,6612.439527,3777.716566
03-01-08-02-02-01-22.wav,,strong,-523.7566528,42.92953873,-9.608951569,1.766759753,-13.81648445,1.687922001,-10.06863689,-8.546539307,-11.06461334,-9.346707344,-12.807374,-1.833504677,-2.121323109,159.7537537,59.77361298,26.05652428,23.14709473,25.14199257,18.33620262,19.53157234,15.0980463,15.75856781,11.73827267,17.0055542,8.511721611,11.61294556,6376.893803,3423.82562
03-01-01-01-02-02-22.wav,,normal,-707.4772949,64.67532349,1.403847575,12.91407394,-5.1549263,14.19578457,-6.883193493,3.021735191,-8.002179146,-9.591667175,-6.035495758,-2.394565105,1.385672569,156.5756683,63.55403519,24.80071068,26.71330833,21.11483383,13.25406361,19.09503174,10.71428299,15.68050575,13.25563622,11.80132294,11.7819252,8.443964958,6640.472934,3556.490324
03-01-02-01-02-01-22.wav,,normal,-716.7063599,64.11999512,2.732968807,11.82670403,-5.56384325,12.23440266,-7.500989914,-0.041922044,-8.776205063,-5.479289532,-3.636250257,-1.754090786,0.706054986,160.6735535,64.94960785,21.91107941,23.83324814,19.66549492,14.27709961,15.86568165,9.995948792,15.1349287,11.5895071,13.32239056,10.89173412,9.595448494,6853.525504,3716.982987
03-01-02-02-01-01-22.wav,,strong,-721.0030518,67.90161133,-2.137357473,13.94811058,-2.456427574,14.01945019,-7.253263474,2.353782892,-4.666154385,-3.020527363,-2.578149796,-2.475113153,1.632672191,153.9003601,54.81282806,27.89002991,23.87352943,19.96621513,15.41761208,16.45035744,12.32668209,14.1778183,10.24056053,10.90905285,11.22019482,8.027908325,6527.032795,3380.650238
03-01-03-01-01-02-22.wav,,normal,-675.2399292,67.60121155,-9.946746826,0.524576306,-4.619689465,10.99112129,-9.973026276,-4.599937439,-8.433298111,-9.321520805,-6.080749512,-1.367998838,-2.885813236,162.2759705,64.64804077,25.329422,23.67989159,20.16529465,15.18263054,17.8791008,10.00817299,12.35434437,11.83223343,13.65068245,10.31339264,8.417129517,6477.088699,3811.200016
03-01-03-02-02-02-22.wav,,strong,-549.9854736,54.4094696,-12.08229256,-1.232256055,-11.36980343,8.14747715,-13.13801765,-7.931062698,-10.82882977,-11.00653934,-10.48297215,0.102084704,-4.798579216,169.3544006,60.26657104,24.7260952,25.52782822,24.04348373,17.30775642,20.98381805,14.42280579,15.25240803,12.03726101,16.03882599,10.34918785,11.44328594,6066.681715,3369.600153
03-01-08-01-01-01-14.wav,,normal,-710.7835693,48.77224731,-2.865575552,5.872848034,-0.826932728,-1.846843243,-11.80706501,3.328491688,-12.08466339,-0.60520798,-5.487942696,-3.392101765,-3.908994675,146.1425934,60.72082901,26.12393761,22.43413162,13.32471371,12.05519295,20.55877304,12.86801147,18.43881798,8.202437401,10.15146637,8.832906723,7.660651207,5376.446478,4053.663073
