File Name,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27
03-01-05-01-02-01-16.wav,-563.2865600585938,49.64883804321289,-6.105738162994385,10.458234786987305,-5.491734027862549,-0.33151760697364807,-9.950891494750977,-0.9074124097824097,-10.08036994934082,-7.562868118286133,-8.875397682189941,-1.2832767963409424,-4.365170478820801,165.6388397216797,75.3717269897461,32.3997917175293,27.2584228515625,22.771799087524414,19.36673927307129,20.82521629333496,12.201330184936523,14.748363494873047,12.790560722351074,11.875990867614746,8.45080280303955,8.778576850891113,5197.620555017599,4040.9315696137332
03-01-06-01-02-02-16.wav,-582.4150390625,53.8277587890625,-6.217735767364502,7.703193664550781,-1.5356783866882324,4.751631736755371,-11.035256385803223,-6.731741428375244,-12.881444931030273,-9.406087875366211,-5.080708026885986,0.43318983912467957,-7.476512908935547,135.17759704589844,74.51496887207031,22.304149627685547,24.8675479888916,19.32672691345215,12.597511291503906,18.821897506713867,12.536602973937988,14.243383407592773,11.963888168334961,11.5388822555542,9.123725891113281,9.544958114624023,4251.116911942932,3833.1781833707423
03-01-06-02-01-02-16.wav,-418.4998779296875,39.59127426147461,-25.59210777282715,-2.8347980976104736,-5.696197986602783,-2.1065917015075684,-18.4929256439209,-7.546037673950195,-12.406195640563965,-9.510558128356934,-6.937021255493164,-1.2075867652893066,-9.490371704101562,125.79955291748047,48.25775909423828,28.7113037109375,20.529142379760742,20.073362350463867,15.677661895751953,20.79877281188965,15.214361190795898,15.93358325958252,12.58282470703125,14.522608757019043,10.217839241027832,10.287492752075195,5423.21635574468,2602.9681716691134
03-01-05-02-01-01-16.wav,-470.210693359375,48.58982467651367,-8.505513191223145,5.728757858276367,-3.0265071392059326,-2.5719056129455566,-14.422110557556152,0.16104388236999512,-6.639500617980957,-8.884906768798828,-6.192270278930664,0.9303706884384155,-5.094511032104492,149.04283142089844,60.559112548828125,28.24652671813965,25.628896713256836,20.71518898010254,14.977960586547852,24.50581169128418,12.147791862487793,11.122570991516113,13.359455108642578,9.98077392578125,8.499662399291992,10.507174491882324,4645.976943774447,3344.549022884965
03-01-07-01-01-01-16.wav,-650.4923095703125,64.39037322998047,0.8292191624641418,11.523898124694824,-0.35862189531326294,3.5913171768188477,-6.460954666137695,0.6406636834144592,-12.072955131530762,-4.1151204109191895,-5.8277153968811035,1.0929081439971924,-3.342395067214966,159.5679473876953,69.96854400634766,28.006017684936523,24.883243560791016,17.727365493774414,13.121752738952637,17.549230575561523,12.140030860900879,16.00583267211914,9.021239280700684,11.660361289978027,8.707147598266602,9.915019035339355,4275.8777523211065,3660.2021783564273
03-01-04-01-01-02-16.wav,-699.4721069335938,72.06031799316406,7.297576427459717,10.884042739868164,3.873194456100464,2.345424175262451,-9.802933692932129,-5.979671478271484,-11.09262752532959,-4.559789180755615,-3.8955490589141846,-1.749617338180542,-6.4008002281188965,134.10203552246094,69.85857391357422,26.78980827331543,21.843517303466797,15.985322952270508,14.355764389038086,16.999032974243164,13.71713924407959,13.658843040466309,8.523582458496094,8.868429183959961,7.496454238891602,9.036434173583984,5011.229693723797,3588.64794260553
03-01-04-02-02-02-16.wav,-634.4852905273438,71.03974914550781,-6.566929340362549,7.721406936645508,-0.30542269349098206,6.9913554191589355,-15.028292655944824,-12.167972564697266,-16.92611312866211,-4.678616046905518,-3.3898427486419678,-0.9239804744720459,-9.096960067749023,148.54580688476562,80.76996612548828,23.344844818115234,26.912105560302734,20.755096435546875,13.55841064453125,19.931461334228516,13.069491386413574,17.137155532836914,11.02853012084961,12.444382667541504,9.032954216003418,9.829259872436523,5800.435090598671,3525.104256290342
03-01-07-02-02-01-16.wav,-600.0875244140625,59.866695404052734,6.06459903717041,18.24707794189453,-2.0502331256866455,7.751212120056152,-12.605536460876465,-2.612661838531494,-10.890645027160645,-7.045820236206055,-7.597345352172852,2.0695345401763916,-6.358902931213379,156.68130493164062,80.0283432006836,27.731285095214844,29.365095138549805,26.118595123291016,19.004236221313477,22.218769073486328,12.414546966552734,14.23509407043457,11.947006225585938,11.412009239196777,8.522092819213867,9.671646118164062,5291.650897395034,3481.0847454774125
03-01-08-02-02-01-16.wav,-538.6835327148438,53.071048736572266,-7.9901580810546875,1.059099555015564,-5.061295986175537,1.435333013534546,-16.12151336669922,-7.494620323181152,-11.94677448272705,-6.214511394500732,-7.86543607711792,-1.7555794715881348,-9.163766860961914,170.82333374023438,73.73571014404297,27.404340744018555,26.7073974609375,19.61859130859375,15.501523971557617,24.364707946777344,12.844873428344727,15.696634292602539,10.71741771697998,13.520366668701172,9.290279388427734,11.494346618652344,6056.127999507582,3278.0131889382865
03-01-08-01-01-01-16.wav,-634.4155883789062,60.70073699951172,-4.737706184387207,2.859661102294922,-0.4971236288547516,-0.02550460584461689,-11.302062034606934,-6.281991481781006,-9.782394409179688,-4.028159141540527,-2.603701591491699,-1.5207691192626953,-7.360800266265869,142.58229064941406,75.01545715332031,26.5460262298584,22.008848190307617,16.74540138244629,15.024270057678223,18.596723556518555,12.842489242553711,16.10572624206543,8.360519409179688,8.726619720458984,9.055898666381836,9.76485538482666,4208.861509414139,3916.3736463490336
03-01-03-02-02-02-16.wav,-554.533203125,52.55882263183594,-7.927263259887695,5.601349830627441,-0.7564604878425598,3.4245107173919678,-13.465367317199707,-4.805655002593994,-8.314220428466797,-6.799661159515381,-3.56982684135437,1.1086126565933228,-3.927042245864868,145.13995361328125,78.13645935058594,25.800216674804688,26.34328269958496,23.73277473449707,16.030826568603516,20.230737686157227,11.928768157958984,12.942107200622559,13.266302108764648,9.91762924194336,8.080690383911133,8.843573570251465,5615.084894487843,3961.831897546141
